name_of_investigator,created_at,updated_at,updated_by,date,overall_photos_front,overall_photos_back,overall_photos_left,overall_photos_right,detailed_photos_front,detailed_photos_back,detailed_photos_left,detailed_photos_right,elevations_assessed_front_o,elevations_assessed_back_o,elevations_assessed_left_o,elevations_assessed_right_o,latitude,longitude,geometry,address_suite,address_locality,address_postal_code,address_country,complete address,building_name,located_in_historic_district,occupancy_o,occupany_u,number_stories,year_built_o,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,understory_pct_of_building_footprint,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,,,wall_thickness,roof_shape_o,roof_shape_u,roof_slope_o,roof_slope_u,construction_type_o,construction_type_u,construction_type_u_unc,mwfrs_o,mwfrs_u_wall,mwfrs_u_roof,mwfrs_u_moment_frame,mwfrs_u_unc,masonry_leaves,masonry_leaves_unc,structural_wall_system_o,structural_wall_system_u,foundation_type_o,foundation_type_u,foundation_type_u_unc,wall_anchorage_type_o,wall_anchorage_type_u,wall_anchorage_type_u_unc,wall_substrate_o,wall_substrate_u,wall_substrate_u_unc,wall_cladding_o,wall_cladding_u,wall_cladding_u_unc,soffit_type_o,soffit_type_u,soffit_present_u,wall_fenesteration_protection_front,wall_fenesteration_protection_front_unc,wall_fenesteration_protection_back,wall_fenesteration_protection_back_unc,wall_fenesteration_protection_right,wall_fenesteration_protection_right_unc,wall_fenesteration_protection_left,wall_fenesteration_protection_left_unc,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,fenestration_protection_type_unc,fenesteration_ratio_o,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,large_door_opening_type_,opening_type,roof_system_o,roof_system_u,roof_system_u_unc,r2wall_attachment_o,r2wall_attachment_u,r2wall_attachment_type_unc,roof_substrate_type_o,roof_substrate_type_u,roof_substrate_type_u_unc,roof_cover_o,roof_cover_u,roof_cover_u_unc,overhang_length_o,overhang_length_u,parapet_height_m,secondary_water_barrier_o,secondary_water_barrier_u,retrofit_type_1_o,retrofit_type_1_u,retrofit_type_2_o,reotrofit_2_u,retrofit_year_o,retrofit_year_u,retrofit_present_u,retrofit_type_u,retrofit_type_unc_u,foundation_damage_cause_o,foundation_damage_cause_u,oop_failure_n,oop_failure_s,oop_failure_e,oop_failure_w,ip_failure_n,ip_failure_s,ip_failure_e,ip_failure_w,shortest_dist_from_tornado,status_u,risk_category_16,building_low_rise,building_open,building_enclosed,building_regular_shape,,exposure_category,building_natural_frequency,building_rigid,,about_structure,about_damages,about_openings,rest
Jordan nakayama,2021-12-14 17:43:21 UTC,2021-12-14 23:32:10 UTC,jon0003@auburn.edu,12/14/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.74601349,-88.63268025,POINT (-88.6326802521944 36.7460134907597),,Mayfield,42066,US,320 E James St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,650,isolated,right_on_street,3,0,3,n,10,35,,,0.2,,hip,,30,,steel_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,steel_cold_formed,,slab_on_grade,2,,un,1,,foam_board,3,,stucco,3,,vinyl,yes,no,3,yes,3,no,3,no,3,NA,plywood,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,steel_truss,3,,un,1,,plywood,3,,asphalt,3,,0.5,0,,,,,,,,,no,NA,3,,NA,no,yes,no,no,no,no,no,no,50.14322395,moderate,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 18:09:39 UTC,2021-12-14 23:34:44 UTC,jon0003@auburn.edu,12/14/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.73891126,-88.64246193,POINT (-88.64246193319559 36.738911261088575),,Mayfield,42066,US,513 W Walnut St Mayfield Graves County KY 42066 US,water tower,no,"Utilities and miscellaneous,Other",residental,1,,1990,250,isolated,recessed,3,100,3,s,15,10,,,0.2,,NA,,NA,,NA,3,,NA,NA,no,3,NA,3,,steel_moment_resisting_frame,,NA,3,,NA,3,,NA,3,,NA,3,,NA,no,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,NA,,NA,3,,NA,3,,NA,3,,NA,3,,0,0,,,,,,,,,no,NA,3,,NA,yes,yes,yes,yes,no,no,no,no,48.98431733,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 18:30:40 UTC,2021-12-14 23:35:44 UTC,jon0003@auburn.edu,12/14/21,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,36.74003353,-88.64224635,POINT (-88.64224635064602 36.74003352963613),,Mayfield,42066,US,429 W Water St Mayfield Graves County KY 42066 US,,no,"Assembly,Other",residental,1,,2008,775,isolated,recessed,3.5,0,3,w,14,47,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,Slab-on-grade,slab_on_grade,3,,un,1,"""Wood, sheathing (continuous)""",foam_board,3,Brick,brick_veneer,3,,vinyl,yes,yes,3,yes,3,yes,3,yes,3,plywood,plywood,plywood,plywood,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_trusses,3,,metal_clips,3,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,yes,reinforced_masonry,3,,NA,no,no,no,no,yes,yes,no,no,49.06723084,moderate,2,yes,,,,,,,,,,,,
Muhammad Rakeh Saleem,2021-12-14 18:29:58 UTC,2021-12-15 02:25:39 UTC,rakeh@psu.edu,12/14/21,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,36.73943196,-88.64207938,POINT (-88.64207938313484 36.73943196134427),,Mayfield,42066,united States,500 West Water Street Mayfield Graves County Kentucky 42066 united States,,no,,residental,2,,1990,105,isolated,recessed,3.5,0,3,n,13,9,,,0.24,,gable,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,Slab-on-grade,slab_on_grade,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,metal_clips,2,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,no,3,,NA,no,no,yes,no,no,yes,no,no,49.0440472,severe,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 19:14:08 UTC,2021-12-14 23:36:01 UTC,jon0003@auburn.edu,12/14/21,yes,no,yes,yes,no,no,no,no,no,no,no,no,36.73949188,-88.64113994,POINT (-88.64113993942738 36.73949187657535),,Mayfield,42066,US,410 W Water St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,170,isolated,recessed,3.5,0,3,n,14,11,,,0.2,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.9,0,,,,,,,,,no,NA,3,,erosion,no,yes,yes,yes,no,no,no,no,49.11839715,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 19:20:34 UTC,2021-12-14 23:36:20 UTC,jon0003@auburn.edu,12/14/21,yes,yes,no,yes,no,yes,no,no,no,no,no,no,36.73949134,-88.64044458,POINT (-88.64044457674026 36.739491339219235),,Mayfield,42066,US,338 W Water St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,200,isolated,recessed,3.5,0,3,n,9,10,,,0.24,,complex,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,3,,erosion,yes,yes,no,yes,no,no,no,no,49.17079056,severe,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 19:40:43 UTC,2021-12-14 23:34:28 UTC,jon0003@auburn.edu,12/14/21,yes,yes,no,no,no,no,no,no,no,no,no,no,36.73857057,-88.64293233,POINT (-88.64293232560158 36.73857057397358),,Mayfield,42066,US,330 S 12th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,160,isolated,recessed,3.5,0,3,s,9,15,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,wood_frame,unreinforced masonry stem wall,slab_on_grade,1,,un,1,,un,1,,un,1,,un,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,irregular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,erosion,yes,yes,yes,yes,no,no,no,no,48.92865487,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 19:48:51 UTC,2021-12-14 23:34:16 UTC,jon0003@auburn.edu,12/14/21,yes,no,no,yes,yes,no,no,no,no,no,no,no,36.73862324,-88.64362065,POINT (-88.64362064749002 36.73862323548764),,Mayfield,42066,US,324 S 14th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,220,isolated,recessed,3.5,0,3,s,9.5,23,,,0.25,,gable,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,wood_frame,Reinforced masonry stem wall,concrete_stem_wall,2,,un,1,,un,1,,un,1,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,irregular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,erosion,no,yes,yes,no,no,no,no,no,48.87990845,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 20:05:17 UTC,2021-12-14 23:35:17 UTC,jon0003@auburn.edu,12/14/21,yes,no,yes,yes,no,no,no,yes,no,no,no,no,36.73943948,-88.6422202,POINT (-88.64222019910812 36.73943948433548),,Mayfield,42066,US,504 W Water St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,120,isolated,recessed,3.5,0,3,n,8.6,14.77,,,0.24,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,2,,wood_frame,unreinforced masonry stem wall,concrete_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.9,0,,,,,,,,,no,NA,3,,erosion,no,no,no,no,no,no,no,no,49.03388508,minor,2,yes,,,,,,,,,,,,
Muhammad Rakeh Saleem,2021-12-14 18:54:41 UTC,2021-12-15 02:28:02 UTC,rakeh@psu.edu,12/14/21,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,36.73948677,-88.64160296,POINT (-88.64160295575857 36.739486771692036),,Mayfield,42066,united States,422 West Water Street Mayfield Graves County Kentucky 42066 united States,,no,,residental,1,,2019,115,isolated,recessed,3.5,0,3,w,12,23,,,0.27,,complex,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,unreinforced masonry stem wall,concrete_stem_wall,3,Concrete nails,anchor_bolts,2,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_trusses,3,,un,1,,plywood,3,,asphalt,3,,0,0,,,,,,,,,no,NA,3,,erosion,no,no,no,no,yes,no,no,no,49.08319781,severe,2,yes,,,,,,,,,,,,
Muhammad Rakeh Saleem,2021-12-14 19:17:27 UTC,2021-12-15 02:30:05 UTC,rakeh@psu.edu,12/14/21,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,36.73940832,-88.64075638,POINT (-88.64075638353825 36.73940831765276),,Mayfield,42066,united States,303 South 10th Street Mayfield Graves County Kentucky 42066 united States,,no,,residental,1,,1990,135,isolated,recessed,3.5,0,3,e,10,24,,,0.24,,gable,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,Slab-on-grade,slab_on_grade,3,unknown,un,1,,foam_board,3,,wood_plank,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,erosion,no,no,no,no,no,no,yes,no,49.1423604,moderate,2,yes,,,,,,,,,,,,
Muhammad Rakeh Saleem,2021-12-14 19:22:44 UTC,2021-12-15 02:29:51 UTC,rakeh@psu.edu,12/14/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,36.73926323,-88.6407594,POINT (-88.64075940102339 36.73926323120451),,Mayfield,42066,united States,309 South 10th Street Mayfield Graves County Kentucky 42066 united States,,no,,residental,1,,1990,270,isolated,recessed,3.5,0,3,e,12.91,9,,,0.25,,complex,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,concrete_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,vinyl,yes,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,yes,no,no,no,yes,no,single_garage,regular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,2,,erosion,no,no,no,yes,no,yes,no,yes,49.13353756,severe,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 20:28:18 UTC,2021-12-14 23:33:49 UTC,jon0003@auburn.edu,12/14/21,yes,yes,yes,no,no,no,no,no,no,no,no,no,36.74202466,-88.63511469,POINT (-88.63511469215155 36.742024662871735),,Mayfield,42066,US,101 W Broadway St Mayfield Graves County KY 42066 US,Hall Hotel,yes,Business,business,2,,1900,640,isolated,recessed,6.5,0,3.25,s,22,38,,,0.35,,complex,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,concrete_piers,1,,un,1,"""Wood, sheathing (continuous)""",sheathing_insulate,3,Brick,brick_veneer,3,,un,yes,yes,3,yes,3,yes,3,yes,3,plywood,plywood,plywood,plywood,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_trusses,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,erosion,no,no,yes,yes,no,no,no,no,49.72278132,moderate,2,yes,,,,,,,,,,,,
